wnid,noun
n00065098,ennoblement
n00065216,conquest
n00065336,coup
n00065418,flying colors
n00065418,flying colours
n00065575,passing
n00065575,pass
n00065575,qualifying
n00065855,credit
n00065855,course credit
n00066075,semester hour
n00066075,credit hour
n00066216,nonaccomplishment
n00066216,nonachievement
n00066397,failure
n00066636,failure
n00066901,failing
n00066901,flunk
n00067153,naught
n00067254,cut
n00067397,default
n00067526,loss
n00067707,capitulation
n00067707,fall
n00067707,surrender
n00067990,frustration
n00067990,thwarting
n00067990,foiling
n00068170,overturn
n00068170,upset
n00068333,backsliding
n00068333,lapse
n00068333,lapsing
n00068333,relapse
n00068333,relapsing
n00068333,reversion
n00068333,reverting
n00068617,recidivism
n00068755,disappointment
n00068755,dashing hopes
n00068901,breach
n00069060,copout
n00069173,breach of contract
n00069444,anticipatory breach
n00069444,constructive breach
n00069604,breach of duty
n00069685,breach of the covenant of warranty
n00069815,breach of promise
n00069918,breach of trust
n00070077,breach of trust with fraudulent intent
n00070215,breach of warranty
n00070363,leaning
n00070462,material breach
n00070641,motivation
n00070641,motivating
n00070807,partial breach
n00070965,mistake
n00070965,error
n00070965,fault
n00071546,double fault
n00071700,footfault
n00071864,bobble
n00072068,error
n00072068,misplay
n00072261,blot
n00072261,smear
n00072261,smirch
n00072261,spot
n00072261,stain
n00072473,confusion
n00072473,mix-up
n00072691,incursion
n00072808,miscalculation
n00072808,misreckoning
n00072808,misestimation
n00073032,backfire
n00073032,boomerang
n00073177,rounding
n00073177,rounding error
n00073525,truncation error
n00073713,distortion
n00073828,slip
n00073828,slip-up
n00073828,miscue
n00073828,parapraxis
n00074092,freudian slip
n00074324,offside
n00074524,oversight
n00074524,lapse
n00074624,omission
n00074624,skip
n00074790,blunder
n00074790,blooper
n00074790,bloomer
n00074790,bungle
n00074790,pratfall
n00074790,foul-up
n00074790,fuckup
n00074790,flub
n00074790,botch
n00074790,boner
n00074790,boo-boo
n00075283,snafu
n00075471,spectacle
n00075618,ballup
n00075618,balls-up
n00075618,cockup
n00075618,mess-up
n00075790,bull
n00075912,fumble
n00075912,muff
n00076072,fluff
n00076196,faux pas
n00076196,gaffe
n00076196,solecism
n00076196,slip
n00076196,gaucherie
n00076323,howler
n00076393,clanger
n00076563,trip
n00076563,trip-up
n00076563,stumble
n00076563,misstep
n00076884,spill
n00076884,tumble
n00076884,fall
n00077169,pratfall
n00077249,wipeout
n00077419,acquisition
