wnid,noun
n03420559,fort
n03420801,garrison cap
n03420801,overseas cap
n03420935,garrote
n03420935,garotte
n03420935,garrotte
n03420935,iron collar
n03421117,garter
n03421117,supporter
n03421324,garter belt
n03421324,suspender belt
n03421485,garter stitch
n03421669,gas guzzler
n03421768,gas shell
n03421960,gas bracket
n03422072,gas burner
n03422072,gas jet
n03422288,gas chamber
n03422288,death chamber
n03422484,gas-cooled reactor
n03422589,gas-discharge tube
n03422771,gas engine
n03422934,gas fitting
n03423099,gas fixture
n03423224,gas furnace
n03423306,gas gun
n03423387,gas heat
n03423479,gas heater
n03423568,gas holder
n03423568,gasometer
n03423719,gasket
n03423877,gas lamp
n03423966,gas line
n03424103,gas main
n03424204,gas maser
n03424325,gasmask
n03424325,respirator
n03424325,gas helmet
n03424489,gas meter
n03424489,gasometer
n03424630,gasoline engine
n03424630,petrol engine
n03424862,gasoline gauge
n03424862,gasoline gage
n03424862,gas gauge
n03424862,gas gage
n03424862,petrol gauge
n03424862,petrol gage
n03425092,gasoline station
n03425092,gas station
n03425092,filling station
n03425092,petrol station
n03425241,gas oven
n03425325,gas oven
n03425413,gas pump
n03425413,gasoline pump
n03425413,petrol pump
n03425413,island dispenser
n03425595,gas range
n03425595,gas stove
n03425595,gas cooker
n03425769,gas ring
n03425956,gas system
n03426134,gas tank
n03426134,gasoline tank
n03426134,petrol tank
n03426285,gas thermometer
n03426285,air thermometer
n03426462,gastroscope
n03426574,gas turbine
n03426871,gas-turbine ship
n03426984,gas well
n03427084,gasworks
n03427202,gat
n03427202,rod
n03427296,gate
n03427656,gate
n03427656,logic gate
n03427909,gate
n03428090,gatehouse
n03428226,gateleg table
n03428349,gatepost
n03428477,gateway
n03428571,gateway drug
n03428805,gather
n03428805,gathering
n03429003,gathered skirt
n03429137,gatling gun
n03429288,gauge
n03429288,gage
n03429682,gauntlet
n03429682,gantlet
n03429771,gauntlet
n03429771,gantlet
n03429771,metal glove
n03429914,gauze
n03429914,netting
n03429914,veiling
n03430091,gauze
n03430091,gauze bandage
n03430313,gavel
n03430418,gazebo
n03430418,summerhouse
n03430551,gear
n03430551,gear wheel
n03430551,geared wheel
n03430551,cogwheel
n03430959,gear
n03430959,paraphernalia
n03430959,appurtenance
n03431243,gear
n03431243,gear mechanism
n03431570,gearbox
n03431570,gear box
n03431570,gear case
n03431745,gearing
n03431745,gear
n03431745,geartrain
n03431745,power train
n03431745,train
n03432061,gearset
n03432129,gearshift
n03432129,gearstick
n03432129,shifter
n03432129,gear lever
n03432360,geiger counter
n03432360,geiger-muller counter
n03432509,geiger tube
n03432509,geiger-muller tube
n03432668,gelatin
n03432668,gel
n03432796,gelignite
n03432796,gelly
n03432972,gem
n03432972,treasure
n03433079,gemfibrozil
n03433079,lopid
n03433247,gene chip
n03433247,dna chip
n03433434,general anesthetic
n03433434,general anaesthetic
n03433637,general-purpose bomb
n03433637,gp bomb
n03433877,generator
n03434188,generator
n03434285,generator
n03434428,generic
n03434549,generic drug
n03434830,geneva gown
n03434943,genre
n03435290,genre painting
n03435382,gentamicin
n03435382,garamycin
n03435593,geodesic dome
n03435743,georgette
n03435825,george washington bridge
n03435991,gharry
n03436075,ghat
n03436182,ghetto blaster
n03436182,boom box
n03436290,ghillie
n03436290,gillie
n03436417,gift shop
n03436417,novelty shop
n03436549,gift wrapping
n03436656,gig
n03436772,gig
n03436891,gig
n03436990,gig
n03437184,gildhall
n03437295,gill net
n03437430,gilt
n03437430,gilding
n03437581,gimbal
n03437741,gingham
n03437829,girandole
n03437829,girandola
n03437941,girder
n03438071,girdle
n03438071,cincture
n03438071,sash
n03438071,waistband
n03438071,waistcloth
n03438257,glass
n03438257,drinking glass
n03438661,glass
n03438780,glass cutter
n03438863,glasses case
n03438952,glass eye
n03439064,glassware
n03439064,glasswork
n03439260,glassworks
n03439348,glebe house
n03439491,glen canyon dam
n03439631,glengarry
n03439814,glider
n03439814,sailplane
n03440024,glipizide
n03440024,glucotrol
n03440216,global positioning system
n03440216,gps
n03440512,globe
n03440682,glockenspiel
n03440682,orchestral bells
n03440876,glory hole
n03440876,lazaretto
n03441009,glossy
n03441112,glove
n03441345,glove compartment
n03441465,glow lamp
n03441582,glow tube
n03441778,glutethimide
n03441778,doriden
n03441930,glyburide
n03441930,diabeta
n03441930,micronase
n03442164,glyph
n03442288,glyptic art
n03442288,glyptography
n03442487,glyptics
n03442487,lithoglyptics
n03442597,gnomon
n03442756,goal
n03443005,goalmouth
n03443149,goalpost
n03443371,goblet
n03443461,go board
n03443543,godown
n03443669,goffer
n03443669,gauffer
n03443775,goffer
n03443775,gauffer
n03443775,goffering iron
n03443775,gauffering iron
n03443912,goggles
n03444034,go-kart
n03444169,golconda
n03444268,goldbrick
n03444376,golden calf
n03444601,golden gate bridge
n03444728,gold foil
n03444838,gold leaf
n03444942,gold medal
n03445120,goldmine
n03445120,gold mine
n03445217,goldmine
n03445217,gold mine
n03445326,gold plate
n03445472,gold plate
n03445617,golf bag
n03445777,golf ball
n03445924,golfcart
n03445924,golf cart
n03446070,golf club
n03446070,golf-club
n03446070,club
n03446268,golf-club head
n03446268,club head
n03446268,club-head
n03446268,clubhead
n03446528,golf course
n03446528,links course
n03446832,golf equipment
n03447075,golf glove
n03447224,golf range
n03447224,driving range
n03447358,golliwog
n03447358,golliwogg
n03447447,gondola
n03447593,gondola car
n03447593,gondola
n03447721,gong
n03447721,tam-tam
n03447894,goniometer
n03448031,gordian knot
n03448253,gore
n03448253,panel
n03448491,gorgerin
n03448491,necking
n03448590,gorget
n03448696,gossamer
n03448814,gota canal
n03448956,gothic arch
n03449103,gouache
n03449217,gouache
n03449309,gouge
n03449451,gourd
n03449451,calabash
n03449564,government building
n03449858,government office
n03450018,governor
n03450018,regulator
n03450230,gown
n03450516,gown
n03450516,robe
n03450734,gown
n03450734,surgical gown
n03450734,scrubs
n03450881,grab
n03450974,grab bag
n03451120,grab bar
n03451253,grace cup
n03451365,grade separation
n03451473,graduate
n03451711,graduated cylinder
n03451798,graffito
n03451798,graffiti
n03451909,grail
n03451909,holy grail
n03451909,sangraal
n03452055,gramicidin
n03452267,gramophone
n03452267,acoustic gramophone
n03452449,granary
n03452449,garner
n03452594,grandfather clock
n03452594,longcase clock
n03452741,grand piano
n03452741,grand
n03452953,grandstand
n03452953,covered stand
n03453162,grange
n03453231,graniteware
n03453320,granny knot
n03453320,granny
n03453443,grape arbor
n03453443,grape arbour
n03453547,grapeshot
n03453547,grape
n03453696,graphic
n03453696,computer graphic
n03453809,graphic art
n03453985,graphics
n03454110,grapnel
n03454110,grapnel anchor
n03454211,grapnel
n03454211,grapple
n03454211,grappler
n03454211,grappling hook
n03454211,grappling iron
n03454442,grass skirt
n03454536,grate
n03454536,grating
n03454707,grate
n03454707,grating
n03454885,grater
n03455033,grave
n03455033,tomb
n03455279,gravel pit
n03455355,graver
n03455355,graving tool
n03455355,pointel
n03455355,pointrel
n03455488,gravestone
n03455488,headstone
n03455488,tombstone
n03455642,gravimeter
n03455642,gravity meter
n03455802,gravure
n03455802,photogravure
n03455802,heliogravure
n03455923,gravure
n03456024,gravy boat
n03456024,gravy holder
n03456024,sauceboat
n03456024,boat
n03456186,grey
n03456186,gray
n03456299,grease-gun
n03456299,gun
n03456447,greasepaint
n03456548,greasy spoon
n03456665,greatcoat
n03456665,overcoat
n03456665,topcoat
n03456854,greater new orleans bridge
n03457008,great hall
n03457184,great seal
n03457332,great seal of the united states
n03457451,greave
n03457451,jambeau
n03457578,greek cross
n03457686,greengrocery
n03457793,greengrocery
n03457902,greenhouse
n03457902,nursery
n03457902,glasshouse
n03458128,greenroom
n03458271,grenade
n03458422,grid
n03458422,gridiron
n03458552,grid
n03458552,control grid
n03458753,grid
n03458753,storage-battery grid
n03458961,reef
n03459159,reference grid
n03459328,griddle
n03459498,grigri
n03459498,gres-gris
n03459498,greegree
n03459591,grill
n03459591,grille
n03459591,grillwork
n03459775,grille
n03459775,radiator grille
n03459914,grillroom
n03459914,grill
n03460040,grinder
n03460147,grinding wheel
n03460147,emery wheel
n03460297,grindstone
n03460455,gripsack
n03460526,grisaille
n03460674,griseofulvin
n03460674,fulvicin
n03460899,gristmill
n03461037,grizzle
n03461119,grocery
n03461119,foodstuff
n03461288,grocery bag
n03461385,grocery store
n03461385,grocery
n03461385,food market
n03461385,market
n03461651,grogram
n03461783,groin
n03461882,groined vault
n03461988,groover
n03462110,grosgrain
n03462211,gros point
n03462315,gros point
n03462441,grotesque
n03462594,ground
n03462747,ground
n03462747,earth
n03462972,ground bait
n03463073,ground cable
n03463185,ground control
n03463381,ground floor
n03463381,first floor
n03463381,ground level
n03463561,ground plan
n03463666,groundsheet
n03463666,ground cloth
n03463832,grove
n03463832,woodlet
n03463832,orchard
n03463832,plantation
n03464053,g-string
n03464053,thong
n03464266,guanabenz
n03464266,wytensin
n03464467,guard
n03464467,safety
n03464467,safety device
n03464628,guard boat
n03464757,guardhouse
n03464952,guardroom
n03465040,guardroom
n03465151,guard ship
n03465320,guard's van
n03465426,gueridon
n03465500,guarnerius
n03465605,guesthouse
n03465718,guestroom
n03465818,guidance system
n03465818,guidance device
n03466027,guide
n03466162,guided missile
n03466493,guided missile cruiser
n03466600,guided missile frigate
n03466726,guide rope
n03466839,guildhall
n03466947,guilloche
n03467068,guillotine
n03467254,guimpe
n03467380,guimpe
n03467517,guitar
n03467796,guitar pick
n03467887,gulag
n03467984,gun
n03468570,gunboat
n03468696,gun carriage
n03468821,gun case
n03468900,gun deck
n03469031,gun emplacement
n03469031,weapons emplacement
n03469175,gun enclosure
n03469175,gun turret
n03469175,turret
n03469346,gunflint
n03469493,gunlock
n03469493,firing mechanism
n03469687,gun muzzle
n03469687,muzzle
n03469832,gunnery
n03469903,gunnysack
n03469903,gunny sack
n03469903,burlap bag
n03470005,gun pendulum
n03470222,gun room
n03470387,gunsight
n03470387,gun-sight
n03470629,gun trigger
n03470629,trigger
n03470802,gunwale
n03470802,gunnel
n03470802,gun rest
n03470948,gurney
n03471030,gusher
n03471190,gusset
n03471190,inset
n03471347,gusset
n03471347,gusset plate
n03471473,gutter
n03471473,trough
n03471685,gutter
n03471779,guy
n03471779,guy cable
n03471779,guy wire
n03471779,guy rope
n03471974,guy
n03472112,gymnasium
n03472112,gym
n03472232,gymnastic apparatus
n03472232,exerciser
n03472535,gym shoe
n03472535,sneaker
n03472535,tennis shoe
n03472672,gym suit
n03472796,gymslip
n03472937,gypsy cab
n03473078,gyrocompass
n03473227,gyroscope
n03473227,gyro
n03473465,gyrostabilizer
n03473465,gyrostabiliser
n03473704,haberdashery
n03473704,men's furnishings
n03473817,habergeon
n03473966,habit
n03474167,habit
n03474167,riding habit
n03474352,hacienda
n03474467,hack
n03474635,hackney
n03474635,hackney carriage
n03474635,hackney coach
n03474779,hacksaw
n03474779,hack saw
n03474779,metal saw
n03474896,haft
n03474896,helve
n03475118,hagia sophia
n03475118,hagia sofia
n03475118,santa sophia
n03475118,santa sofia
n03475421,haik
n03475421,haick
n03475581,hairbrush
n03475674,haircloth
n03475674,hair
n03475823,hairdressing
n03475823,hair tonic
n03475823,hair oil
n03475823,hair grease
n03475961,hairnet
n03476083,hairpiece
n03476083,false hair
n03476083,postiche
n03476313,hairpin
n03476458,hairpin bend
n03476542,hair shirt
n03476684,hair slide
n03476843,hair space
n03476991,hair spray
n03477143,hairspring
n03477303,hair trigger
n03477410,halberd
n03477512,half binding
n03477674,half cross stitch
n03477773,half hatchet
n03477902,half hitch
n03478033,half-length
n03478141,half sole
n03478261,halftone
n03478261,halftone engraving
n03478261,photoengraving
n03478400,halftone
n03478491,half track
n03478589,half track
n03478756,hall
n03478907,hall
n03479121,hall
n03479266,hall of fame
n03479397,hall of residence
n03479502,hallstand
n03479647,hallucinogen
n03479647,hallucinogenic drug
n03479647,psychedelic drug
n03479647,psychodelic drug
n03479952,hallway
n03479952,hall
n03480186,haloperidol
n03480186,haldol
n03480367,halothane
n03480579,halter
n03480719,halter
n03480719,hackamore
n03480863,halyard
n03480863,halliard
n03480973,hame
n03481172,hammer
n03481521,hammer
n03481521,power hammer
n03481674,hammer
n03481824,hammer
n03481824,cock
n03482001,hammer
n03482128,hammerhead
n03482252,hammock
n03482252,sack
n03482405,hamper
n03482523,hand
n03482727,hand ax
n03482727,hand axe
n03482877,handball
n03482988,handball court
n03483086,handbarrow
n03483230,handbell
n03483316,hand blower
n03483316,blow dryer
n03483316,blow drier
n03483316,hair dryer
n03483316,hair drier
n03483531,handbow
n03483637,hand brake
n03483637,emergency
n03483637,emergency brake
n03483637,parking brake
n03483823,hand calculator
n03483823,pocket calculator
n03483971,handcar
n03484083,handcart
n03484083,pushcart
n03484083,cart
n03484083,go-cart
n03484487,hand cream
n03484576,handcuff
n03484576,cuff
n03484576,handlock
n03484576,manacle
n03484809,hand drill
n03484809,handheld drill
n03484931,hand glass
n03484931,simple microscope
n03484931,magnifying glass
n03485198,hand glass
n03485198,hand mirror
n03485309,hand grenade
n03485407,hand-held computer
n03485407,hand-held microcomputer
n03485575,handhold
n03485655,handicraft
n03485655,handcraft
n03485655,handiwork
n03485655,handwork
n03485794,handkerchief
n03485794,hankie
n03485794,hanky
n03485794,hankey
n03485997,handle
n03485997,grip
n03485997,handgrip
n03485997,hold
n03487090,handlebar
n03487222,handline
n03487222,hand line
n03487331,handloom
n03487444,hand lotion
n03487533,hand luggage
n03487642,hand-me-down
n03487774,hand mower
n03487886,hand pump
n03487963,hand puppet
n03487963,glove puppet
n03487963,glove doll
n03488111,handrest
n03488188,handsaw
n03488188,hand saw
n03488188,carpenter's saw
n03488438,handset
n03488438,french telephone
n03488603,hand shovel
n03488784,handspike
n03488887,handstamp
n03488887,rubber stamp
n03489048,hand throttle
n03489162,hand tool
n03490006,hand towel
n03490006,face towel
n03490119,hand truck
n03490119,truck
n03490324,handwear
n03490324,hand wear
n03490449,handwheel
n03490649,handwheel
n03490784,hangar queen
n03490884,hanger
n03491032,hang glider
n03491178,hanging
n03491178,wall hanging
n03491491,hanging gardens of babylon
n03491724,hangman's rope
n03491724,hangman's halter
n03491724,halter
n03491724,hemp
n03491724,hempen necktie
n03491988,hank
n03492087,hansom
n03492087,hansom cab
n03492250,harbor
n03492250,harbour
n03492391,hardback
n03492391,hardcover
n03492542,hard disc
n03492542,hard disk
n03492542,fixed disk
n03492717,hard drug
n03492922,hard hat
n03492922,tin hat
n03492922,safety hat
n03493079,hard shoulder
n03493219,hardtop
n03493333,hardware
n03493333,computer hardware
n03493664,hardware
n03493792,hardware
n03493792,ironware
n03493911,hardware store
n03493911,ironmonger
n03493911,ironmonger's shop
n03494105,harem
n03494105,hareem
n03494105,seraglio
n03494105,serail
n03494278,harmonica
n03494278,mouth organ
n03494278,harp
n03494278,mouth harp
n03494537,harmonium
n03494537,organ
n03494537,reed organ
n03494706,harness
n03495039,harness
n03495258,harp
n03495570,harp
n03495671,harpoon
n03495941,harpoon gun
n03496042,harpoon line
n03496183,harpoon log
n03496296,harpsichord
n03496296,cembalo
n03496486,harris tweed
n03496612,harrow
n03496749,harvard university
n03496749,harvard
n03496892,harvester
n03496892,reaper
n03497100,hash house
n03497182,hashish
n03497182,hasheesh
n03497182,haschisch
n03497182,hash
n03497352,hasp
n03497531,hassock
n03497657,hat
n03497657,chapeau
n03497657,lid
n03498316,hatband
n03498441,hatbox
n03498536,hatch
n03498662,hatchback
n03498662,hatchback door
n03498781,hatchback
n03498866,hatchel
n03498866,heckle
n03498962,hatchet
n03499142,hatchway
n03499142,opening
n03499142,scuttle
n03499354,hatpin
n03499468,hauberk
n03499468,byrnie
n03499611,havelock
n03499796,haven
n03499796,oasis
n03499907,hawaiian guitar
n03499907,steel guitar
n03500090,hawse
n03500090,hawsehole
n03500090,hawsepipe
n03500209,hawser
n03500295,hawser bend
n03500389,hay bale
n03500457,hayfork
n03500557,hayloft
n03500557,haymow
n03500557,mow
n03500699,haymaker
n03500699,hay conditioner
n03500838,hayrack
n03500838,hayrig
n03500971,hayrack
n03501068,haywire
n03501152,hazard
n03501288,head
n03501520,head
n03501614,head
n03501811,head
n03502042,headband
n03502200,headboard
n03502331,head covering
n03502331,veil
n03502509,headdress
n03502509,headgear
n03502777,header
n03502897,header
n03503097,header
n03503097,coping
n03503097,cope
n03503233,header
n03503233,lintel
n03503358,headfast
n03503477,head gasket
n03503567,head gate
n03503718,headgear
n03503908,headgear
n03503997,headlight
n03503997,headlamp
n03504205,headpiece
n03504293,headpin
n03504293,kingpin
n03504420,headquarters
n03504420,hq
n03504420,military headquarters
n03504723,headquarters
n03504723,central office
n03504723,main office
n03504723,home office
n03504723,home base
n03505015,headrace
n03505133,headrest
n03505207,headrest
n03505207,head restraint
n03505383,headsail
n03505504,headscarf
n03505667,headset
n03505764,head shop
n03505942,headshot
n03506028,headstall
n03506028,headpiece
n03506184,headstock
n03506370,health spa
n03506370,spa
n03506370,health club
n03506560,hearing aid
n03506560,ear trumpet
n03506727,hearing aid
n03506727,deaf-aid
n03506880,hearse
n03507048,heart
n03507241,hearth
n03507241,fireside
n03507458,hearthrug
n03507554,hearthstone
n03507658,heart-lung machine
n03507857,heart valve
n03507963,heat engine
n03508101,heater
n03508101,warmer
n03508485,heat exchanger
n03508628,heating element
n03508881,heating pad
n03508881,hot pad
n03509025,heating system
n03509025,heating plant
n03509025,heating
n03509025,heat
n03509394,heat lamp
n03509394,infrared lamp
n03509608,heat pump
n03509843,heat-seeking missile
n03510072,heat shield
n03510244,heat sink
n03510384,heaume
n03510487,heaver
n03510583,heavier-than-air craft
n03510866,heckelphone
n03510866,basset oboe
n03510987,hectograph
n03510987,heliotype
n03511175,hedge
n03511175,hedgerow
n03511333,hedge trimmer
n03511426,heel
n03511786,heel
n03511949,heel
n03512030,helicon
n03512030,bombardon
n03512147,helicopter
n03512147,chopper
n03512147,whirlybird
n03512147,eggbeater
n03512452,heliograph
n03512624,heliometer
n03512830,heliport
n03512911,helm
n03513137,helmet
n03513376,helmet
n03513627,hem
n03513961,hematinic
n03513961,haematinic
n03514129,hematocrit
n03514129,haematocrit
n03514340,hemming-stitch
n03514451,hemostat
n03514451,haemostat
n03514588,hemstitch
n03514693,hemstitch
n03514693,hemstitching
n03514894,henroost
n03514974,heparin
n03514974,lipo-hepin
n03514974,liquaemin
n03515338,heraldry
n03515500,herbal medicine
n03515644,herb garden
n03515728,herm
n03515934,hermitage
n03516011,heroin
n03516011,diacetylmorphine
n03516266,herringbone
n03516367,herringbone
n03516367,herringbone pattern
n03516647,herschelian telescope
n03516647,off-axis reflector
n03516844,hessian boot
n03516844,hessian
n03516844,jackboot
n03516844,wellington
n03516844,wellington boot
n03516996,heterodyne receiver
n03516996,superheterodyne receiver
n03516996,superhet
n03517271,hexachlorophene
n03517427,hex nut
n03517509,hibachi
n03517647,hideaway
n03517647,retreat
n03517760,hi-fi
n03517760,high fidelity sound system
n03517899,high altar
n03517982,high-angle gun
n03518135,highball glass
n03518230,highboard
n03518305,highboy
n03518305,tallboy
n03518445,highchair
n03518445,feeding chair
n03518631,high gear
n03518631,high
n03518829,high-hat cymbal
n03518829,high hat
n03518943,highlighter
n03519081,highlighter
n03519226,high-pass filter
n03519387,high-rise
n03519387,tower block
n03519578,highroad
n03519578,trunk road
n03519674,high table
n03519848,high-warp loom
n03519981,highway
n03519981,main road
n03520275,highway system
n03520399,high wire
n03520493,hijab
n03520654,hilt
n03520811,hindrance
n03520811,hinderance
n03520811,hitch
n03520811,preventive
n03520811,preventative
n03520811,encumbrance
n03520811,incumbrance
n03520811,interference
n03521076,hinge
n03521076,flexible joint
n03521431,hinging post
n03521431,swinging post
n03521544,hip boot
n03521544,thigh boot
n03521675,hipflask
n03521675,pocket flask
n03521771,hip pad
n03521899,hip pocket
n03522003,hippodrome
n03522100,hip roof
n03522100,hipped roof
n03522239,histamine blocker
n03522559,hit
n03522634,hitch
n03522863,hitch
n03522990,hitching post
n03523134,hitchrack
n03523134,hitching bar
n03523288,hob
n03523398,hob
n03523506,hobble skirt
n03523633,hobby
n03523633,hobbyhorse
n03523633,rocking horse
n03523849,hobnail
n03523987,hockey skate
n03524150,hockey stick
n03524287,hod
n03524425,hodoscope
n03524574,hoe
n03524745,hoe handle
n03524840,hogan
n03524976,hogshead
n03525074,hoist
n03525252,hold
n03525252,keep
n03525372,hold
n03525454,holder
n03525693,holding cell
n03525827,holding device
n03526062,holding pen
n03526062,holding paddock
n03526062,holding yard
n03526198,hole
n03526805,hole
n03526805,golf hole
n03527000,hole card
n03527149,hollowware
n03527149,holloware
n03527243,hologram
n03527243,holograph
n03527444,holster
n03527565,holster
n03527675,holy of holies
n03527675,sanctum sanctorum
n03527930,holy sepulcher
n03527930,holy sepulchre
n03528100,home
n03528100,nursing home
n03528100,rest home
n03528263,home appliance
n03528263,household appliance
n03528523,home computer
n03528622,home court
n03528761,home-farm
n03528901,home plate
n03528901,home base
n03528901,home
n03528901,plate
n03529175,home room
n03529175,homeroom
n03529444,homespun
n03529629,homestead
n03529740,homestretch
n03529860,home theater
n03529860,home theatre
n03530041,homing device
n03530189,homing torpedo
n03530326,homolosine projection
n03530511,hone
n03530642,honeycomb
n03530803,honkytonk
n03530803,dive
n03530910,hood
n03530910,bonnet
n03530910,cowl
n03530910,cowling
n03531281,hood
n03531447,hood
n03531546,hood
n03531546,exhaust hood
n03531691,hood
n03531808,hood
n03531808,lens hood
n03531982,hood latch
n03532080,hoodoo
n03532187,hood ornament
n03532342,hook
n03532672,hook
n03532672,claw
n03532919,hook
n03533014,hookah
n03533014,narghile
n03533014,nargileh
n03533014,sheesha
n03533014,shisha
n03533014,chicha
n03533014,calean
n03533014,kalian
n03533014,water pipe
n03533014,hubble-bubble
n03533014,hubbly-bubbly
n03533392,hook and eye
n03533486,hookup
n03533486,assemblage
n03533654,hookup
n03533845,hook wrench
n03533845,hook spanner
n03533972,hoop
n03533972,ring
n03534429,hoop
n03534580,hoopskirt
n03534580,crinoline
n03534695,hoosegow
n03534695,hoosgow
n03534776,hoover
n03534890,hoover dam
n03535024,hope chest
n03535024,wedding chest
n03535186,hop garden
n03535186,hop field
n03535284,hopper
n03535429,hop-picker
n03535429,hopper
n03535526,hop pole
n03535647,hopsacking
n03535647,hopsack
n03535780,horizontal bar
n03535780,high bar
n03535970,horizontal section
n03536122,horizontal stabilizer
n03536122,horizontal stabiliser
n03536122,tailplane
n03536348,horizontal surface
n03536348,level
n03536568,horizontal tail
n03536761,horn
n03536931,horn
n03536931,saddle horn
n03537085,horn
n03537241,horn
n03537412,horn button
n03537550,hornpipe
n03537550,pibgorn
n03537550,stockhorn
n03537714,horoscope
n03537866,horror
n03538037,horse
n03538037,gymnastic horse
n03538179,horsebox
n03538300,horsecar
n03538406,horse cart
n03538406,horse-cart
n03538542,horsecloth
n03538634,horse-drawn vehicle
n03538817,horsehair
n03538957,horsehair wig
n03539103,horseless carriage
n03539293,horse pistol
n03539293,horse-pistol
n03539433,horseshoe
n03539433,shoe
n03539546,horseshoe
n03539678,horse-trail
n03539754,horsewhip
n03539875,hose
n03539875,hosepipe
n03540090,hose
n03540267,hosiery
n03540267,hose
n03540476,hospice
n03540595,hospital
n03540595,infirmary
n03540914,hospital bed
n03541091,hospital room
n03541269,hospital ship
n03541393,hospital train
n03541537,hostel
n03541537,youth hostel
n03541537,student lodging
n03541696,hostel
n03541696,hostelry
n03541696,inn
n03541696,lodge
n03541696,auberge
n03541923,hot-air balloon
n03542073,hotbed
n03542220,hotbox
n03542333,hotel
n03542605,hotel-casino
n03542605,casino-hotel
n03542727,hotel-casino
n03542727,casino-hotel
n03542860,hotel room
n03543012,hot line
n03543112,hot pants
n03543254,hot plate
n03543254,hotplate
n03543394,hot rod
n03543394,hot-rod
n03543511,hot spot
n03543511,hotspot
n03543603,hot tub
n03543735,hot-water bottle
n03543735,hot-water bag
n03543945,houndstooth check
n03543945,hound's-tooth check
n03543945,dogstooth check
n03543945,dogs-tooth check
n03543945,dog's-tooth check
n03544143,hourglass
n03544238,hour hand
n03544238,little hand
n03544360,house
n03545150,house
n03545470,houseboat
n03545585,houselights
n03545756,house of cards
n03545756,cardhouse
n03545756,card-house
n03545756,cardcastle
n03545961,house of correction
n03546112,house paint
n03546112,housepaint
n03546235,housetop
n03546340,housing
n03546340,lodging
n03546340,living accommodations
n03546766,housing
n03547054,hovel
n03547054,hut
n03547054,hutch
n03547054,shack
n03547054,shanty
n03547229,hovercraft
n03547229,ground-effect machine
n03547397,howdah
n03547397,houdah
n03547530,huarache
n03547530,huaraches
n03547658,hub
n03547861,hub-and-spoke
n03547861,hub-and-spoke system
n03548086,hubcap
n03548195,huck
n03548195,huckaback
n03548320,hug-me-tight
n03548402,hula-hoop
n03548533,hulk
n03548626,hull
n03548797,humber bridge
n03548930,humeral veil
n03548930,veil
n03549097,humming top
n03549199,humvee
n03549199,hum-vee
n03549350,hunter
n03549350,hunting watch
n03549473,hunting knife
n03549589,hurdle
n03549732,hurricane deck
n03549732,hurricane roof
n03549732,promenade deck
n03549732,awning deck
n03549897,hurricane lamp
n03549897,hurricane lantern
n03549897,tornado lantern
n03549897,storm lantern
n03549897,storm lamp
n03550153,hut
n03550153,army hut
n03550153,field hut
n03550289,hutch
n03550420,hutment
n03550533,hydantoin
n03550671,hydralazine
n03550671,apresoline
n03550916,hydrant
n03551084,hydraulic brake
n03551084,hydraulic brakes
n03551395,hydraulic press
n03551582,hydraulic pump
n03551582,hydraulic ram
n03551790,hydraulic system
n03552001,hydraulic transmission
n03552001,hydraulic transmission system
n03552169,hydrochlorothiazide
n03552169,microzide
n03552169,esidrix
n03552169,hydrodiuril
n03552449,hydroelectric turbine
n03552639,hydroflumethiazide
n03552749,hydrofoil
n03552749,hydroplane
n03553019,hydrofoil
n03553019,foil
n03553248,hydrogen bomb
n03553248,h-bomb
n03553248,fusion bomb
n03553248,thermonuclear bomb
n03553486,hydrometer
n03553486,gravimeter
n03553708,hydromorphone hydrochloride
n03553708,hydromorphone
n03553708,dilaudid
n03553908,hydroxychloroquine
n03553908,plaquenil
n03554131,hydroxyzine hydrochloride
n03554131,hydroxyzine
n03554131,atarax
n03554131,vistaril
n03554375,hygrodeik
n03554460,hygrometer
n03554645,hygroscope
n03554795,hyoscyamine
n03555006,hyperbaric chamber
n03555217,hypercoaster
n03555426,hypermarket
n03555564,hypodermic needle
n03555662,hypodermic syringe
n03555662,hypodermic
n03555662,hypo
n03555862,hypsometer
n03555996,hysterosalpingogram
n03556173,i-beam
n03556281,ibuprofen
n03556281,isobutylphenyl propionic acid
n03556281,advil
n03556281,motrin
n03556281,nuprin
n03556679,ice ax
n03556679,ice axe
n03556679,piolet
n03556811,iceboat
n03556811,ice yacht
n03556811,scooter
n03556992,icebreaker
n03556992,iceboat
n03557141,ice cube
n03557270,iced-tea spoon
n03557360,ice hockey rink
n03557360,ice-hockey rink
n03557512,icehouse
n03557590,ice machine
n03557692,ice maker
n03557840,ice pack
n03557840,ice bag
n03558007,icepick
n03558007,ice pick
n03558176,ice rink
n03558176,ice-skating rink
n03558176,ice
n03558404,ice skate
n03558633,ice tongs
n03558739,icetray
n03558841,ice wagon
n03558841,ice-wagon
n03558971,icon
n03558971,ikon
n03559144,iconography
n03559373,iconoscope
n03559531,identikit
n03559531,identikit picture
n03559841,iditarod trail
n03559999,idle pulley
n03559999,idler pulley
n03559999,idle wheel
n03560161,idol
n03560161,graven image
n03560161,god
n03560430,igloo
n03560430,iglu
n03560567,ignition
n03560567,ignition system
n03560860,ignition coil
n03561047,ignition key
n03561169,ignition switch
n03561345,illustration
n03561573,imaret
n03561657,imbrication
n03561657,overlapping
n03561657,lapping
n03561889,imipramine
n03561889,impramine hydrochloride
n03561889,imavate
n03561889,tofranil
n03562126,imitation
n03562262,counterfeit
